iter	Passed	Remaining
0	0	699
1	1	626
2	1	589
3	2	581
4	3	619
5	3	615
6	4	624
7	4	613
8	5	603
9	6	594
10	6	585
11	7	580
12	7	575
13	8	571
14	8	567
15	9	562
16	9	560
17	10	556
18	10	554
19	11	551
20	12	573
21	12	576
22	13	576
23	14	577
24	14	582
25	15	584
26	16	585
27	16	584
28	17	584
29	18	582
30	18	581
31	19	581
32	20	611
33	21	614
34	22	621
35	23	619
36	23	617
37	24	616
38	24	614
39	25	612
40	26	609
41	26	608
42	27	612
43	28	613
44	28	613
45	29	612
46	30	610
47	30	611
48	31	611
49	32	610
50	32	608
51	33	607
52	33	605
53	34	603
54	35	601
55	35	600
56	36	598
57	36	597
58	37	596
59	37	595
60	38	593
61	39	592
62	39	592
63	40	591
64	41	589
65	41	588
66	42	587
67	43	590
68	43	590
69	44	589
70	45	589
71	45	588
72	46	587
73	46	586
74	47	584
75	47	583
76	48	583
77	49	585
78	50	584
79	50	583
80	51	582
81	51	581
82	52	576
83	52	575
84	53	574
85	53	572
86	54	571
87	55	570
88	55	569
89	56	568
90	56	569
91	57	568
92	58	571
93	59	570
94	59	570
95	60	569
96	61	570
97	61	570
98	62	569
99	63	567
100	63	566
101	64	565
102	64	564
103	65	562
104	65	561
105	66	560
106	66	558
107	67	557
108	68	556
109	68	555
110	69	553
111	69	552
112	70	551
113	70	550
114	71	549
115	71	548
116	72	546
117	73	548
118	73	547
119	74	545
120	75	545
121	75	543
122	76	542
123	76	541
124	77	540
125	77	539
126	78	537
127	79	540
128	79	539
129	80	538
130	80	537
131	81	536
132	82	535
133	82	534
134	83	533
135	83	532
136	84	531
137	84	529
138	85	528
139	85	528
140	86	527
141	87	525
142	87	524
143	88	524
144	89	525
145	89	524
146	90	524
147	90	523
148	91	523
149	92	522
150	92	521
151	93	520
152	93	519
153	94	518
154	94	517
155	95	516
156	95	515
157	96	514
158	97	513
159	97	512
160	97	510
161	98	509
162	99	508
163	99	507
164	100	506
165	101	508
166	101	507
167	102	507
168	102	506
169	103	505
170	104	505
171	104	505
172	105	504
173	106	504
174	106	503
175	107	502
176	107	501
177	108	501
178	109	500
179	109	499
180	110	498
181	110	497
182	111	496
183	111	496
184	112	495
185	112	494
186	113	493
187	114	492
188	114	491
189	115	491
190	115	490
191	116	490
192	117	489
193	117	488
194	118	488
195	119	488
196	119	488
197	120	487
198	121	487
199	121	486
200	122	485
201	122	484
202	123	484
203	123	483
204	124	482
205	124	481
206	125	480
207	126	480
208	126	479
209	127	478
210	127	477
211	128	476
212	128	476
213	129	475
214	130	474
215	130	474
216	131	473
217	131	472
218	132	471
219	132	470
220	133	469
221	134	469
222	134	469
223	135	468
224	135	467
225	136	467
226	137	466
227	137	465
228	138	465
229	138	464
230	140	466
231	140	466
232	141	465
233	141	464
234	142	463
235	143	463
236	143	462
237	144	461
238	144	460
239	145	460
240	145	459
241	146	458
242	146	457
243	147	456
244	148	456
245	148	455
246	149	455
247	150	454
248	150	454
249	151	454
250	151	453
251	152	452
252	153	451
253	153	450
254	154	450
255	154	449
256	155	448
257	155	447
258	156	447
259	156	446
260	157	445
261	158	445
262	158	444
263	159	444
264	159	443
265	160	442
266	161	442
267	161	441
268	162	440
269	162	439
270	163	439
271	163	438
272	164	438
273	165	437
274	165	437
275	166	436
276	167	436
277	167	435
278	168	434
279	168	434
280	169	433
281	169	432
282	170	432
283	171	431
284	171	430
285	172	429
286	172	429
287	173	428
288	173	427
289	174	427
290	174	426
291	175	425
292	176	424
293	176	424
294	177	423
295	177	422
296	178	422
297	178	421
298	179	421
299	180	420
300	180	419
301	181	419
302	182	418
303	182	417
304	183	417
305	183	416
306	184	415
307	184	415
308	185	414
309	185	413
310	186	413
311	186	412
312	187	411
313	188	411
314	188	410
315	189	409
316	189	408
317	190	408
318	190	407
319	191	406
320	191	406
321	192	405
322	193	404
323	193	403
324	194	403
325	194	402
326	195	402
327	196	401
328	196	401
329	197	400
330	197	399
331	198	399
332	198	398
333	199	397
334	199	396
335	200	396
336	201	395
337	201	394
338	202	394
339	202	393
340	203	392
